Model,RMSE,MAE,R2,MAPE
XGBoost,21743.027940008724,13302.3564453125,0.9410344362258911,7.096582889313543
LightGBM,25711.953927492934,14699.362821942063,0.9175427973157538,7.875007031052602
RandomForest,26391.205471645375,15525.616588522442,0.9131285859157008,8.522589826220088
Linear,30332.318038381676,16621.438614667506,0.8852455232559657,8.813027555740794
SVM,44711.444710574346,23807.150734904993,0.7506577690168665,10.841283258312542
Baseline,90118.42692728156,64730.37754412649,-0.012944474025523567,37.512502942911716
